kernel                                                 instr   loads     ds     mac   vgpr  th_max     smem
vec_amd_dk384_kq8_0_vturbo2_w64                          955      31      7      36    232     640    24960
vec_amd_dk384_kq8_0_vturbo3                              971      34      7      35    248     640    24960
vec_amd_dk384_kq8_0_vturbo3_w64                          988      34      7      36    248     640    24960
vec_amd_dk384_kq8_0_vturbo4                              942      34      7      35    252     640    24960
vec_amd_dk384_kq8_0_vturbo4_w64                          980      34      7      36    252     640    24960
vec_amd_dk384_kturbo2_vf16                               916      19      7      43    232     640    24960
vec_amd_dk384_kturbo2_vf16_w64                           943      19      7      37    232     640    24960
vec_amd_dk384_kturbo2_vq8_0                              948      31      7      35    232     640    24960
vec_amd_dk384_kturbo2_vq8_0_w64                          973      31      7      35    232     640    24960
vec_amd_dk384_kturbo2_vturbo2                            966      34      7      31    232     768    24960
vec_amd_dk384_kturbo2_vturbo2_w64                       1001      34      7      31    232     640    24960
vec_amd_dk384_kturbo2_vturbo3                           1023      37      7      35    248     640    24960
vec_amd_dk384_kturbo2_vturbo3_w64                       1031      37      7      35    248     640    24960
vec_amd_dk384_kturbo2_vturbo4                            977      37      7      35    252     640    24960
vec_amd_dk384_kturbo2_vturbo4_w64                       1017      37      7      35    252     640    24960
vec_amd_dk384_kturbo3_vf16                               967      22      7      38    248     640    24960
vec_amd_dk384_kturbo3_vf16_w64                           988      22      7      37    248     640    24960
vec_amd_dk384_kturbo3_vq8_0                              981      34      7      35    248     640    24960
vec_amd_dk384_kturbo3_vq8_0_w64                          998      34      7      35    248     640    24960
vec_amd_dk384_kturbo3_vturbo2                           1030      37      7      35    248     640    24960
vec_amd_dk384_kturbo3_vturbo2_w64                       1048      37      7      35    248     640    24960
vec_amd_dk384_kturbo3_vturbo3                           1049      40      7      31    248     640    24960
vec_amd_dk384_kturbo3_vturbo3_w64                       1062      40      7      31    248     640    24960
vec_amd_dk384_kturbo3_vturbo4                           1025      40      7      35    252     640    24960
vec_amd_dk384_kturbo3_vturbo4_w64                       1056      40      7      35    252     640    24960
vec_amd_dk384_kturbo4_vf16                               929      23      7      38    252     640    24960
vec_amd_dk384_kturbo4_vf16_w64                           956      22      7      37    252     640    24960
vec_amd_dk384_kturbo4_vq8_0                              949      34      7      35    252     640    24960
vec_amd_dk384_kturbo4_vq8_0_w64                          976      34      7      35    252     640    24960
vec_amd_dk384_kturbo4_vturbo2                            983      37      7      35    252     640    24960
vec_amd_dk384_kturbo4_vturbo2_w64                       1017      37      7      35    252     640    24960
vec_amd_dk384_kturbo4_vturbo3                           1034      40      7      35    252     640    24960
vec_amd_dk384_kturbo4_vturbo3_w64                       1049      40      7      35    252     576    24960
vec_amd_dk384_kturbo4_vturbo4                            974      40      7      31    252     768    24960
vec_amd_dk384_kturbo4_vturbo4_w64                        998      40      7      31    252     640    24960
vec_amd_dk512_kf16_vf16                                  843       5      8      39    230     576    33152
vec_amd_dk512_kf16_vf16_w64                              845       5      8      39    246     640    33152
vec_amd_dk512_kf16_vf16_w64_wg32                         914       5      8      43    187     640    33152
vec_amd_dk512_kf16_vf16_wg32                             895       5      8      41    187     576    33152
vec_amd_dk512_kf16_vq4_0                                 988       9      8      60    187     576    33152
vec_amd_dk512_kf16_vq4_0_w64                             999       9      8      61    187     576    33152
vec_amd_dk512_kf16_vq4_0_w64_wg32                       1009       9      8      56    187     640    33152
vec_amd_dk512_kf16_vq4_0_wg32                            997       9      8      56    187     576    33152
vec_amd_dk512_kf16_vq8_0                                 928      21      8      45    187     576    33152
vec_amd_dk512_kf16_vq8_0_w64                             951      21      8      43    187     576    33152
vec_amd_dk512_kf16_vq8_0_w64_wg32                        962      21      8      40    187     576    33152
vec_amd_dk512_kf16_vq8_0_wg32                            951      21      8      40    187     576    33152
vec_amd_dk512_kf16_vturbo2                               981      25      8      45    232     576    33152
vec_amd_dk512_kf16_vturbo2_w64                          1012      25      8      45    232     576    33152
vec_amd_dk512_kf16_vturbo2_w64_wg32                     1009      25      8      42    232     576    33152
vec_amd_dk512_kf16_vturbo2_wg32                          992      25      8      42    232     576    33152
vec_amd_dk512_kf16_vturbo3                              1038      29      8      47    248     576    33152
vec_amd_dk512_kf16_vturbo3_w64                          1052      29      8      47    248     576    33152
vec_amd_dk512_kf16_vturbo3_w64_wg32                     1063      29      8      42    248     576    33152
vec_amd_dk512_kf16_vturbo3_wg32                         1036      29      8      42    248     576    33152
vec_amd_dk512_kf16_vturbo4                               972      29      8      44    252     576    33152
vec_amd_dk512_kf16_vturbo4_w64                          1007      29      8      45    252     576    33152
vec_amd_dk512_kf16_vturbo4_w64_wg32                     1012      29      8      42    252     576    33152
vec_amd_dk512_kf16_vturbo4_wg32                          993      29      8      42    252     576    33152
vec_amd_dk512_kq4_0_vf16                                 996       9      8      63    187     576    33152
vec_amd_dk512_kq4_0_vf16_w64                            1009       9      8      60    187     576    33152
vec_amd_dk512_kq4_0_vf16_w64_wg32                       1014       9      8      56    187     576    33152
vec_amd_dk512_kq4_0_vf16_wg32                            995       9      8      56    187     576    33152
vec_amd_dk512_kq4_0_vq4_0                               1050      13      8      73    187     576    33152
vec_amd_dk512_kq4_0_vq4_0_w64                           1062      13      8      73    187     576    33152
