kernel                                                         instr  narrow   loads     ds     mac   vgpr  th_max     smem
kernel_flash_attn_ext_vec_amd_dk512_kq4_0_vf16_w64_wg32         1089       5       9      8      34    245     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq4_0_vq4_0_w64             1140       9      13      8      45    187     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq4_0_vq4_0_w64_wg32        1183       9      13      8      46    250     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq4_0_vq8_0_w64             1139      21      25      8      33    187     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq4_0_vq8_0_w64_wg32        1182      21      25      8      34    250     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq8_0_vf16_w64               981      17      21      8      26    187     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq8_0_vf16_w64_wg32         1041      17      21      8      22    235     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq8_0_vq4_0_w64             1139      21      25      8      33    187     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq8_0_vq4_0_w64_wg32        1181      21      25      8      34    250     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq8_0_vq8_0_w64             1057      33      37      8      21    212     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq8_0_vq8_0_w64_wg32        1107      33      37      8      22    218     512    33152
kernel_flash_attn_ext_vec_amd_dk576_dv512_kf16_vf16_w64          843       1       4      6      13    240    1024    16576
kernel_flash_attn_ext_vec_amd_dk576_dv512_kf16_vf16_w64_wg32     885       1       4      6      14    203    1024    16576
kernel_flash_attn_ext_vec_amd_dk576_dv512_kq8_0_vq8_0_w64        935      21      24      6      13    232    1024    16576
kernel_flash_attn_ext_vec_amd_dk576_dv512_kq8_0_vq8_0_w64_wg     978      21      24      6      14    212    1024    16576
kernel_flash_attn_ext_vec_amd_dk640_kturbo3_vturbo3_w64         1366      21      66      9      24    248     512    41344
kernel_flash_attn_ext_vec_amd_dk640_kturbo4_vturbo4_w64         1220      21      66      9       5    252     512    41344
kernel_flash_attn_ext_vec_amd_dk64_kf16_vf16_w64                 863       1       3     10      13    200    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kf16_vq4_0_w64                939       3       5     10      19    236    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kf16_vq8_0_w64                911       9      11     10      14    213    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kq4_0_vf16_w64                937       3       5     10      20    236    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kq4_0_vq4_0_w64               961       5       7     10      28    192    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kq4_0_vq8_0_w64               955      11      13     10      23    187    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kq8_0_vf16_w64                911       9      11     10      14    213    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kq8_0_vq4_0_w64               956      11      13     10      23    187    1024    35840
kernel_flash_attn_ext_vec_amd_dk64_kq8_0_vq8_0_w64               927      17      19     10      16    187    1024    35840
kernel_flash_attn_ext_vec_amd_dk72_kf16_vf16_w64                 842       1       3      6      14    228    1024    19968
kernel_flash_attn_ext_vec_reduce_dv=256_nwg=32                 FALLA
kernel_flash_attn_ext_vec_reduce_dv=512_nwg=32                 FALLA
